ItemID,Name,Description,ImageName
1001,安杰丽卡的碎片,desc_placeholder,imagename_placeholder
1002,尼古拉斯的碎片,desc_placeholder,imagename_placeholder
1003,海菲尔德的碎片,desc_placeholder,imagename_placeholder
1004,艾米莉亚的碎片,desc_placeholder,imagename_placeholder
2011,战士的微小精华,desc_placeholder,imagename_placeholder
2012,战士的低级精华,desc_placeholder,imagename_placeholder
2013,战士的中级精华,desc_placeholder,imagename_placeholder
2014,战士的高级精华,desc_placeholder,imagename_placeholder
2015,战士的稀有精华,desc_placeholder,imagename_placeholder
2021,刺客的微小精华,desc_placeholder,imagename_placeholder
2022,刺客的低级精华,desc_placeholder,imagename_placeholder
2023,刺客的中级精华,desc_placeholder,imagename_placeholder
2024,刺客的高级精华,desc_placeholder,imagename_placeholder
2025,刺客的稀有精华,desc_placeholder,imagename_placeholder
2031,法师的微小精华,desc_placeholder,imagename_placeholder
2032,法师的低级精华,desc_placeholder,imagename_placeholder
2033,法师的中级精华,desc_placeholder,imagename_placeholder
2034,法师的高级精华,desc_placeholder,imagename_placeholder
2035,法师的稀有精华,desc_placeholder,imagename_placeholder
2041,猎人的微小精华,desc_placeholder,imagename_placeholder
2042,猎人的低级精华,desc_placeholder,imagename_placeholder
2043,猎人的中级精华,desc_placeholder,imagename_placeholder
2044,猎人的高级精华,desc_placeholder,imagename_placeholder
2045,猎人的稀有精华,desc_placeholder,imagename_placeholder
